school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;Passed;FAC1_1;FAC2_1;FAC3_1;FAC4_1;FAC5_1;FAC6_1;FAC7_1
GP;F;18;U;GT3;A;4;4;at_home;teacher;course;mother;2;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;6;       0;-,388578319965331;1,47885183772925;,399680335246366;,0924544594592494;-,114643686721158;-,669592944593683;,867880401718798
GP;F;17;U;GT3;T;1;1;at_home;other;course;father;1;2;0;no;yes;no;no;no;yes;yes;no;5;3;3;1;1;3;4;5;5;6;       0;-,848895611055262;-1,6709768851056;,918803730769188;,0636830433094765;,108658626894585;-,318823943031446;-,550771796828359
GP;F;15;U;LE3;T;1;1;at_home;other;other;mother;1;2;3;yes;no;yes;no;yes;yes;yes;no;4;3;2;2;3;3;10;7;8;10;       1;,0320455174069317;-1,73232822737134;-,445012013427195;-,148268337121063;,781269036840709;-,00743815739968363;-,589839968320379
GP;F;15;U;GT3;T;4;2;health;services;home;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;3;2;2;1;1;5;2;15;14;15;       1;-,899936224691182;,343967043919121;-1,35649914052917;1,17836852862727;-,286422673728758;1,12334475857588;-,487169847004498
GP;F;16;U;GT3;T;3;3;other;other;home;father;1;2;0;no;yes;yes;no;yes;yes;no;no;4;3;2;1;2;5;4;6;10;10;       1;-,73627249104551;,348291972157245;-,246657706701021;-,182545098778807;-,100817339069018;1,20934078892038;-,482837883190195
GP;M;16;U;LE3;T;4;3;services;other;reputation;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;5;4;2;1;2;5;10;15;15;15;       1;-,722868311429124;,804480009094135;1,11107061201408;-,367996559433697;,588356016682338;1,11069186905206;-,544222229933255
GP;M;16;U;LE3;T;2;2;other;other;home;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;4;4;1;1;3;0;12;12;11;       1;-,242442454435233;-,674962213233052;,639358099172635;-,122578334268896;-,892877161450249;-,732848948142801;-,945547344738662
GP;F;17;U;GT3;A;4;4;other;teacher;home;mother;2;2;0;yes;yes;no;no;yes;yes;no;no;4;1;4;1;1;1;6;6;5;6;       0;-,679506464798558;1,54579994867961;-,457639753431165;,59196729651799;,382494543896325;-1,73170947557911;1,45551921912545
GP;M;15;U;LE3;A;3;2;services;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;2;2;1;1;1;0;16;18;19;       1;-1,22981656637409;-,118532018389869;-,619170232290121;,00370882884625006;-,250556040104939;-1,45843511603335;-,152651077801182
GP;M;15;U;GT3;T;3;4;other;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;5;5;1;1;1;5;0;14;15;15;       1;-1,29600398340023;,847209967946972;1,26455221808851;-,928158616845442;-,889603180897429;1,21779241155596;-,632353225137145
GP;F;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;3;3;3;1;2;2;0;10;8;9;       0;-,297409065852609;1,37195432710509;-,98167884133683;-,184748132369786;-,823892958600026;-1,08939898915826;-,513319112216548
GP;F;15;U;GT3;T;2;1;services;other;reputation;father;3;3;0;no;yes;no;yes;yes;yes;yes;no;5;2;2;1;1;4;4;10;12;12;       1;-1,15425672686343;-,987014831377277;,58600055463045;1,32410621245277;,215547993759747;,512476309520262;2,50257758084317
GP;M;15;U;LE3;T;4;4;health;services;course;father;1;1;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;3;5;2;14;14;14;       1;-,210518210214273;1,39559022522428;-,197205386311694;-1,08592770508064;-,360419729449281;1,07992767814793;-,392889136298858
