guardian;failures;schoolsup;paid;higher;romantic;goout;age;Passed
0;0;1;0;1;0;4;18;0
1;0;0;0;1;0;3;17;0
0;3;1;1;1;0;2;15;1
0;0;0;1;1;1;2;15;1
1;0;0;1;1;0;2;16;1
0;0;0;1;1;0;2;16;1
0;0;0;0;1;0;4;16;1
0;0;1;0;1;0;4;17;0
0;0;0;1;1;0;2;15;1
0;0;0;1;1;0;1;15;1
0;0;0;1;1;0;3;15;0
1;0;0;0;1;0;2;15;1
1;0;0;1;1;0;3;15;1
0;0;0;1;1;0;3;15;1
2;0;0;0;1;1;2;15;1
0;0;0;0;1;0;4;16;1
0;0;0;1;1;0;3;16;1
0;0;1;0;1;0;2;16;1
0;3;0;0;1;0;5;17;0
1;0;0;1;1;0;3;16;1
0;0;0;0;1;0;1;15;1
1;0;0;1;1;0;2;15;1
0;0;0;0;1;0;1;16;1
0;0;0;0;1;0;4;16;1
0;0;1;1;1;0;2;15;0
0;2;0;1;1;0;2;16;0
0;0;0;1;1;0;2;15;1
0;0;0;1;1;0;4;15;1
0;0;1;0;1;0;3;16;1
0;0;0;1;1;1;5;16;1
0;0;0;1;1;0;2;15;1
0;0;0;0;1;0;1;15;1
0;0;0;0;1;1;2;15;1
0;0;0;0;1;0;2;15;1
0;0;0;1;1;0;3;16;1
1;0;0;0;1;0;1;15;0
0;0;0;0;1;0;3;15;1
0;0;0;0;1;1;3;16;1
0;0;1;1;1;0;2;15;1
0;0;1;1;1;0;1;15;1
0;1;0;0;1;1;3;16;1
2;0;0;0;1;1;3;15;1
1;0;0;0;1;0;3;15;1
1;0;1;0;1;0;1;15;1
1;1;1;0;1;0;3;16;0
0;0;1;1;1;1;2;15;0
0;0;0;0;1;0;5;16;1
0;0;0;0;1;0;2;16;1
0;0;0;1;1;0;3;15;1
1;1;1;0;1;0;4;15;0
0;0;0;1;1;0;3;16;1
0;0;0;1;1;0;3;15;1
1;1;0;0;1;0;5;15;1
0;0;1;1;1;0;4;15;1
0;0;0;1;1;0;4;15;1
0;0;0;1;1;1;4;16;1
0;0;0;1;1;0;2;15;1
0;0;0;0;1;0;2;15;1
1;0;1;0;1;0;2;15;0
0;0;0;0;1;0;3;16;1
0;0;0;0;1;0;4;16;1
1;0;1;0;1;1;5;16;1
1;0;1;0;1;0;3;16;0
0;0;1;1;1;0;4;16;0
1;0;1;0;1;1;4;15;1
0;0;0;0;1;0;3;16;1
0;0;0;0;1;1;3;15;1
0;0;1;1;1;0;3;16;0
0;0;1;1;1;0;3;15;0
1;0;0;0;1;0;2;15;1
1;0;0;1;1;0;2;16;1
0;0;0;0;1;0;3;15;1
0;2;1;0;1;1;4;15;0
0;0;0;0;1;0;2;16;1
0;0;1;1;1;0;3;16;1
0;0;0;1;1;0;3;15;1
0;0;0;0;1;0;3;15;1
0;0;0;1;1;1;3;16;1
0;3;1;0;0;0;1;17;1
0;0;0;0;1;0;3;16;0
1;0;1;1;1;1;2;15;1
0;0;1;1;1;0;2;15;1
0;0;0;1;1;0;4;15;0
0;0;0;1;1;0;3;15;1
1;0;0;0;1;0;2;15;1
1;2;0;1;1;1;4;15;0
0;0;0;0;1;0;4;16;0
0;0;0;0;1;0;3;15;1
1;1;0;1;1;0;2;16;1
0;0;0;0;1;0;3;16;0
0;0;0;1;1;1;3;16;0
0;0;0;1;1;0;5;15;1
1;0;1;0;1;0;3;16;0
0;0;0;1;1;0;3;16;1
0;0;0;0;1;0;4;15;1
0;1;1;1;1;0;2;15;1
0;0;1;0;1;0;3;16;1
0;0;0;1;1;1;5;16;1
0;0;0;0;1;0;4;16;1
0;0;1;1;1;0;5;16;0
